run_accession	experiment_accession	experiment_title	fastq_ftp
SRR5209835	SRX2523350	Illumina HiSeq 2500 sequencing: GSM2471112: TM_Bryostatin Sample 19 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/005/SRR5209835/SRR5209835.fastq.gz
SRR5209836	SRX2523351	Illumina HiSeq 2500 sequencing: GSM2471113: TM_IL15 Sample 20 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/006/SRR5209836/SRR5209836.fastq.gz
SRR5209837	SRX2523352	Illumina HiSeq 2500 sequencing: GSM2471114: EM_PMA_Ionomycin Sample 21 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/007/SRR5209837/SRR5209837.fastq.gz
SRR5209846	SRX2523361	Illumina HiSeq 2500 sequencing: GSM2471123: TM_Unstimulated Control Sample 30 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/006/SRR5209846/SRR5209846.fastq.gz
SRR5209847	SRX2523362	Illumina HiSeq 2500 sequencing: GSM2471124: TM_Bryostatin Sample 31 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/007/SRR5209847/SRR5209847.fastq.gz
SRR5209850	SRX2523365	Illumina HiSeq 2500 sequencing: GSM2471127: EM_Unstimulated Control Sample 34 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/000/SRR5209850/SRR5209850.fastq.gz
SRR5209831	SRX2523346	Illumina HiSeq 2500 sequencing: GSM2471108: CM_Bryostatin Sample 15 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/001/SRR5209831/SRR5209831.fastq.gz
SRR5209840	SRX2523355	Illumina HiSeq 2500 sequencing: GSM2471117: EM_IL15 Sample 24 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/000/SRR5209840/SRR5209840.fastq.gz
SRR5209842	SRX2523357	Illumina HiSeq 2500 sequencing: GSM2471119: CM_Unstimulated Control Sample 26 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/002/SRR5209842/SRR5209842.fastq.gz
SRR5209844	SRX2523359	Illumina HiSeq 2500 sequencing: GSM2471121: CM_IL15 Sample 28 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/004/SRR5209844/SRR5209844.fastq.gz
SRR5209852	SRX2523367	Illumina HiSeq 2500 sequencing: GSM2471129: EM_IL15 Sample 36 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/002/SRR5209852/SRR5209852.fastq.gz
